10,10,2,

33,34,34,34,34,34,34,34,34,35,
41,42,42,42,42,42,42,42,42,43,
41,42,42,42,42,42,42,42,42,43,
41,42,42,42,42,42,42,42,42,43,
49,50,50,50,50,50,50,50,50,51,
01,02,02,02,02,02,02,02,02,03,
09,10,10,10,10,10,10,10,10,11,
09,10,10,10,10,10,10,10,10,11,
09,10,10,10,10,10,10,10,10,11,
17,18,18,18,18,18,18,18,18,19,

00,00,00,00,00,00,00,00,00,00,
00,00,00,00,00,00,00,00,00,00,
00,00,00,00,00,00,00,00,00,00,
00,00,00,24,00,00,00,15,00,00,
00,00,00,00,00,05,06,23,00,00,
00,00,00,00,00,13,14,00,00,00,
00,00,00,00,00,00,00,00,00,00,
00,00,00,00,00,00,00,00,00,00,
00,00,00,00,00,00,00,00,00,00,
00,00,00,00,00,00,00,00,00,00,
