10,36,1

10,9,0,0,0,0,0,0,11,10
6,5,0,0,0,0,0,0,7,6
0,0,0,0,0,0,5,7,0,0
0,0,0,0,0,0,13,15,0,0
0,0,0,5,7,0,0,0,0,0
0,0,0,13,15,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
5,7,0,0,0,4,4,5,7,0
9,11,0,0,0,4,4,13,15,0
9,11,0,0,0,0,0,0,0,0
13,15,0,0,0,0,0,0,0,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,0,0,0,0
14,13,0,0,0,0,0,0,15,14
10,9,0,0,0,0,0,0,11,10
6,5,0,0,0,0,0,0,9,10
0,0,0,0,0,0,0,0,9,10
0,0,0,0,0,0,0,0,9,10
0,5,6,7,0,0,0,0,13,14
0,9,10,11,0,0,0,0,0,0
0,13,14,15,0,0,0,0,0,0
0,0,0,0,0,0,5,6,7,0
0,0,0,0,0,0,9,10,11,0
0,0,0,0,0,0,13,14,15,0
5,7,0,0,0,0,0,0,0,0
13,15,0,0,0,0,0,0,0,0
6,6,6,6,6,6,6,6,7,0
10,10,10,10,10,10,10,10,11,0
10,10,10,10,10,10,10,10,11,0
14,14,14,14,14,14,14,14,15,0
5,6,7,0,0,0,0,0,0,0
9,10,11,0,0,0,0,0,0,0
13,14,15,0,0,0,0,15,14,13
0,0,0,0,0,0,0,11,10,9
13,0,0,0,0,0,0,7,6,5
